Platform,MITRE ATT&CK Tactics, MITRE ATT&CK Technique, Tool / Binary, Host/Network Artifacts, Data Source, Logic, SPL (Splunk), Microsoft KQL Query,Elastic KQL Query, Common False Positives
Windows,Credential Access,T1003.001 -LSASS Dump,rundll32.exe (comsvcs.dll),Rundll32 loading comsvcs.dll; CallTrace containing comsvcs.dll during LSASS access,Sysmon Event 10,LoLBin Abuse: Detects adversaries leveraging the MiniDump export function of comsvcs.dll via rundll32 to perform a memory dump.,"EventCode=10 TargetImage=""*\\lsass.exe"" SourceImage=""*\\rundll32.exe"" CallTrace=""*comsvcs.dll*""",,,None (comsvcs.dll should not interact with LSASS directly under normal circumstances).
Windows,"Credential Access, Privilege Escalation",T1558 - Steal or Forge Kerberos Tickets,Rubeus / PrinterBug / PetitPotam,TGT cached in LSASS (UD); Transited Services field in 4624 (KCD); msDS-AllowedToDelegateToAccount modification (RBCD),Security Event 4624,"Detects S4U2proxy delegation by identifying the 'Transited Services' field in Event 4624, showing the service that impersonated the user.","EventCode=4624 LogonType=3 AuthenticationPackage=Kerberos NOT (TransitedServices=""-"")",,,Legitimate multi-tier applications (e.g. IIS to SQL) using KCD.
Windows,Credential Access,T1558 - Steal or Forge Kerberos Tickets,Rubeus,Excessive S4U2self/S4U2proxy requests from a single service account targeting high-privileged users.,Security Event 4769,Detects S4U Abuse: Monitors for Service Ticket requests (4769) where the service name starts with 'S4U' or matches known constrained delegation service accounts.,"EventCode=4769 TicketOptions=""0x40810000"" ServiceName=""S4U*""",,,Known service accounts performing legitimate protocol transition.
Windows,Credential Access,T1558.003 - Kerberoasting,Rubeus / Impacket,RC4 Ticket Downgrade + Volume Anomaly,Security Event 4769,"High Fidelity: Detects an IP forcing RC4 encryption AND requesting multiple unique SPNs, filtered for non-machine accounts.","EventCode=4769 TicketEncryptionType=0x17 ServiceName!=""*$"" | stats dc(ServiceName) as svc_count by src_ip | where svc_count > 3",,,None (Eliminates single legacy service noise).
Windows,Credential Access,T1558.004 - AS-REP Roasting,Rubeus / Impacket,Pre-Auth Disabled (Type 0) + RC4 Downgrade,Security Event 4768,"High Fidelity: Detects TGT request for accounts with pre-auth disabled, specifically requesting weak RC4 encryption.",EventCode=4768 PreAuthType=0 TicketEncryptionType=0x17,,,Legitimate legacy applications or misconfigured service accounts.
Windows,Credential Access,T1003.006 - DCSync,Mimikatz / Impacket / Custom Tooling,Non-machine account (not ending in $) performing DS-Replication-Get-Changes operations on the domain root; network traffic to DC on RPC/TCP 135 and high ephemeral ports from a non-DC IP; no physical file artifacts on DC (memory-resident attack),Security Event 4662,Non-DC Account Replication Rights: DCSync abuses the DRSGetNCChanges RPC interface to request password hashes from a DC by impersonating a replication partner. The DC validates only whether the requesting account has Replicating Directory Changes extended rights - not whether it is a real DC. Event 4662 captures this operation. The critical filter is SubjectUserName not ending in $ (machine accounts): legitimate DC-to-DC replication always originates from computer accounts. A human or service account performing replication is the definitive anomaly. IMPORTANT: This detection requires manual enablement of DS Access auditing under Advanced Audit Policy Configuration - it is NOT active by default. GUIDs: {1131f6aa} = Replicating Directory Changes; {1131f6ad} = Replicating Directory Changes All. NOTE: Machine account filter alone is insufficient - non-DC machine accounts (e.g. WS01$) can also be granted replication rights. Pair with a DC hostname whitelist for higher fidelity.,"EventCode=4662 AccessMask=""0x100"" (Properties=""*1131f6aa-9c07-11d1-f79f-00c04fc2dcd2*"" OR Properties=""*1131f6ad-9c07-11d1-f79f-00c04fc2dcd2*"") NOT SubjectUserName=""*$"" ",,,Azure AD Connect sync accounts; legitimate backup solutions (Veeam; Commvault); third-party IdP connectors; non-DC machine accounts that have been granted replication rights _ these are themselves a misconfiguration worth investigating
Windows,Credential Access,T1003.006 - DCSync,Mimikatz,lsadump::dcsync keyword in process command line; sekurlsa module invocation,Sysmon Event 1,"Keyword Match of Mimikatz DCSync Module: Detects explicit Mimikatz command invocation for DCSync. Lower fidelity than 4662 correlation (easily evaded by renaming or obfuscating the binary) but provides immediate high-confidence attribution when present. Use as a complement to 4662-based detection, not a replacement.","EventCode=""1"" CommandLine=""*lsadump::dcsync*""",,,Red Teaming / Penetration Testing
Windows,Credential Access,T1558.001 - Golden Ticket,Mimikatz,Forged Kerberos Ticket files (.kirbi) on disk with 10-year lifetime (if exported); DC Security Log Event 4769 showing encryption downgrade (RC4/0x17) & default flags (0x40810000).,Sysmon Event 1,"Keyword Match: Detects usage of kerberos::golden module, especially with NTLM hash or PTT flag.","EventCode=""1"" CommandLine=""*kerberos::golden*"" AND (CommandLine=""*/krbtgt:*"" OR CommandLine=""*/ptt*"")",,,Red Teaming / Penetration Testing
Windows,Credential Access,T1558.001 - Golden Ticket,Mimikatz,Forged Kerberos Ticket files (.kirbi) on disk with 10-year lifetime (if exported); DC Security Log Event 4769 showing encryption downgrade (RC4/0x17) & default flags (0x40810001).,Security Event 4769,"Encryption Downgrade: Detects Kerberos TGS requests using legacy RC4 encryption (0x17) combined with Mimikatz default ticket options (0x40810000), indicating a forged ticket signed with an NTLM hash.","EventCode=""4769"" TicketOptions=""0x40810000"" TicketEncryptionType=""0x17""",,,Red Teaming / Penetration Testing
Windows,Credential Access,T1558.001 - Golden Ticket,Mimikatz / Rubeus,Abnormal Ticket Lifetime (10 years); RC4 Encryption (0x17); TGS_REQ without prior AS_REQ.,Security Event 4769 & 4768,TGS/AS Correlation: Detects TGS service ticket requests (4769) that lack a corresponding TGT request (4768) within a valid time window. This identifies offline-forged TGTs that never touched the KDC for authentication.,"EventCode=4769 NOT [ search EventCode=4768 | fields TargetUserName, IpAddress ]",,,Red Teaming / Penetration Testing
Windows,Credential Access,T1558.001 - Golden Ticket,Mimikatz / Rubeus,"No corresponding 4768 for the 4769 from the same host (ticket forged offline, never touched the KDC AS phase); RC4 encryption on TGS in AES-enforced environments; anomalous ticket lifetimes",Security Event 4768 & 4769,"Incomplete Kerberos Chain (Golden Ticket variant): Identical detection logic to Pass-the-Ticket transaction correlation. A forged TGT is created offline using the krbtgt hash and injected directly into the logon session - the KDC never issued it, so no 4768 exists. The attacker then uses this forged TGT to request legitimate TGS tickets (4769), which appear on the DC without a preceding TGT request. closed_txn=0 captures this gap. Pair with Encryption Downgrade rule below for higher fidelity.","EventCode user!=*$ IN (4768,4769,4770) | rex field=user ""(?<username>[^@]+)"" | rex field=src_ip ""(\:\:ffff\:)?(?<src_ip_4>[0-9\.]+)"" | transaction username, src_ip_4 maxspan=10h keepevicted=true startswith=(EventCode=4768) | where closed_txn=0 | search NOT user=""*$@*"" ",,,Kerberos tickets issued before the 10h observation window; legitimate cross-realm authentication; machine accounts
Windows,Credential Access,T1552.006 - Group Policy Preferences,PowerSploit/Manual,Groups.xml in SYSVOL,Security Event 4663,Monitor non-admin access to sensitive XML paths in SYSVOL.,"EventCode=""4663"" ObjectName=""*\\SYSVOL\\*\\Policies\\*\\Preferences\\*.xml"" NOT (SubjectUserName=""SYSTEM"" OR SubjectUserName=""*$"")",,,Vulnerability scanners; Backup agents; Administrative scripts auditing GPO configurations.
Windows,Privilege Escalation,T1558 - Steal or Forge Kerberos Tickets,Rubeus / Powermad,Creation of dummy machine accounts (MAQ) + modification of target computer attributes.,"Security Event 4741, 4742",Detects RBCD: Correlates Event 4741 (New Machine Account) followed by 4742 (Computer Object Modified) where 'msDS-AllowedToDelegateToAccount' is updated by a non-admin.,"(EventCode=4741 OR (EventCode=4742 AttributeName=""msDS-AllowedToDelegateToAccount"")) | stats count, min(_time) as first_seen, max(_time) as last_seen, values(EventCode) as event_codes, values(TargetUserName) as affected_objects by SubjectUserName | where mvcount(event_codes) > 1 | eval duration = last_seen - first_seen | where duration < 1800",,,Authorized cross-domain resource management by delegated admins.
Windows,Privilege Escalation,T1134.002.- Create Process with Token,runas.exe,Event 4648 (Explicit Credential Logon); Parent Process is Office/Browser/IIS; New console window spawned.,Sysmon Event 1,"Parent Process Anomaly: Detects runas.exe spawned by suspicious parents (Word, Excel, Chrome, w3wp, tomcat). Normal admins launch it from Explorer/CMD.","EventCode=""1"" Image=""*\\runas.exe"" ParentImage IN (""*\\winword.exe"", ""\\excel.exe"", ""*\\chrome.exe"", ""*\\w3wp.exe"")",,,None. (Office/Web Servers should strictly NOT spawn runas.exe)
Windows,Privilege Escalation,T1134 - Access Token Manipulation,Access Token / SACL Monitoring,High-Risk Privilege Enabling (Multi-Vector),Security Event 4703,"etects enabling of any 'God-mode' privileges (Debug, Backup, Restore, TakeOwnership, Tcb, LoadDriver).","EventCode=4703 EnabledPrivileges IN (""*SeDebug*"", ""*SeBackup*"", ""*SeRestore*"", ""*SeTakeOwnership*"", ""*SeTcb*"", ""*SeLoadDriver*"")",,,Admin backup tools; specialized system utilities.
Windows,Privilege Escalation,T1484.001 - Group Policy Modification,GPO ACL Abuse,gPCFileSysPath or nTSecurityDescriptor modification,"Security Event 5136, 4670",Detects unauthorized modifications to GPO Active Directory objects or path attributes by non-privileged accounts.,"(EventCode=5136 ObjectClass=groupPolicyContainer Attribute=gPCFileSysPath) OR (EventCode=4670 ObjectType=File ObjectName=""*\\Policies\\*"")",,,Routine GPO updates by authorized Domain Administrators or DC sync operations.
Windows,Credential Access,T1550.003 - Pass the Ticket,Mimikatz / Rubeus,TGS request (4769) without prior TGT request (4768) from the same host; open transaction indicates ticket was injected rather than legitimately issued,Security Event 4768 & 4769,Incomplete Kerberos Chain: Groups events by username and source IP into transactions that must begin with a TGT request (4768). Transactions where the TGT request never occurred (closed_txn=0) indicate the ticket was forged offline or stolen and injected the core behavioral signature of Pass-the-Ticket and Golden Ticket attacks. Supersedes subsearch-based correlation due to superior time-window handling and multi-user concurrency accuracy.,"EventCode user!=*$ IN (4768,4769,4770) | rex field=user ""(?<username>[^@]+)"" | rex field=src_ip ""(\:\:ffff\:)?(?<src_ip_4>[0-9\.]+)"" | transaction username, src_ip_4 maxspan=10h keepevicted=true startswith=(EventCode=4768) | where closed_txn=0 | search NOT user=""*$@*"" ",,,Kerberos tickets issued before the 10h maxspan window; legitimate delegation flows where TGT was issued on a different DC; machine accounts performing background replication
Windows,Credential Access,T1550.003 - Pass the Ticket,Mimikatz,kirbi ticket files on disk; kerberos::ptt in command line; klist showing tickets for users other than the interactive logon user,Sysmon Event 1,Command Line Keyword: Detects explicit ticket injection commands. Complements the transaction-based 4768/4769 correlation by catching the tooling artifact directly on the attacking host rather than the DC-side authentication anomaly.,"EventCode=""1"" (CommandLine=""*kerberos::ptt*"" OR CommandLine=""*.kirbi*"" OR CommandLine=""*ptt /ticket*"")",,,Red Teaming / Penetration Testing; legitimate Kerberos troubleshooting with klist
Windows,Lateral Movement,T1550.003 - Pass the Ticket,Rubeus,Non-lsass process connecting to DC port 88; Rubeus.exe in process command line; S4U or asktgt subcommands visible in arguments,Sysmon Event 3 & 1,"Tool Fingerprint of Rubeus Direct KDC Connection: Rubeus bypasses lsass.exe and implements its own Kerberos stack, connecting directly to the Domain Controller on TCP/UDP 88. Any process other than lsass.exe initiating this connection is anomalous. eventstats bridges the process command line from EventCode=1 into the network connection record from EventCode=3 via shared process_id, enabling full attribution in a single result row. Detects OPtH, constrained delegation abuse, and S4U attacks simultaneously when Rubeus is the tooling. NOTE: This is a tool-fingerprint detection so  attackers can evade by injecting into lsass or using alternative tooling.","index=main source=""XmlWinEventLog:Microsoft-Windows-Sysmon/Operational"" (EventCode=3 dest_port=88 Image!=""*\\lsass.exe"") OR EventCode=1 | eventstats values(process) as process by process_id | where EventCode=3 AND dest_port=88",,,Legitimate Kerberos clients that implement their own stack (rare); non-standard authentication middleware; testing tools in dev environments
Windows,"Credential Access, Lateral Movement",T1558 - Steal or Forge Kerberos Tickets (Overpass-the-Hash),Rubeus,Non-lsass process connecting to DC port 88; asktgt subcommand with /rc4 or /aes256 flag; NTLM hash or AES key visible in command line arguments,Sysmon Event 3 & 1,"Tool Fingerprint of OPtH via Rubeus: Overpass-the-Hash uses a stolen NTLM hash or AES key to craft a raw AS-REQ and obtain a TGT, converting a hash into a Kerberos ticket to avoid NTLM-based detections. Unlike Mimikatz PTH, Rubeus sends this AS-REQ directly to DC port 88 without routing through lsass.exe. This generates a legitimate-looking EventID 4768 on the DC, defeating the transaction-based PtT detection. The Sysmon network connection from a non-lsass process to port 88 is the sole reliable host-side indicator. Same query as Rubeus PtT detection - both attack types share identical network behavior.","(EventCode=3 dest_port=88 Image!=""*\\lsass.exe"") OR EventCode=1 | eventstats values(process) as process by process_id | where EventCode=3 AND dest_port=88",,,Same false positive profile as Rubeus PtT detection above; any non-standard Kerberos client implementation
Windows,Lateral Movement,T1021.002 - Remote Services: SMB/Windows Admin Shares,"net.exe, PowerShell",New network share creation; Share Name (hidden vs public); Share Path pointing to system roots.,Security Event 5142,"Sensitive Path Abuse: Detects the creation of network shares pointing to OS-critical or data-rich paths (e.g., System32, Users).","EventCode=""5142"" SharePath IN (""C:\\"", ""C:\\Windows*"", ""C:\\Users*"", ""C:\\ProgramData*"", ""C:\\Temp*"")",,,
Windows,Lateral Movement,T1021.002 - SMB/Admin Shares,"PsExec, Impacket-psexec","PSEXESVC.exe (in %SystemRoot%), \psexesvc Named Pipes, Service ImagePath Registry Key","Sysmon 11, 13, 17, 18",The PsExec Triad: Correlates the orchestration of remote execution. 1. System process (PID 4) drops binary (Event 11); 2. SCM registers service (Event 13); 3. System creates Named Pipes (Event 17/18). Tracks the mechanism over the filename.,"(EventCode=13 Image=""*\\services.exe"" TargetObject=""*\\ImagePath"") OR (EventCode=11 Image=""System"" TargetFilename=""C:\\Windows\\*.exe"") OR (EventCode=18 Image=""System"" PipeName=""\\psexesvc*"")",,,Authorized IT remote troubleshooting; SCCM/MECM software distribution; Third-party system management agents.
Windows,Persistence,T1207 - Rogue Domain Controller (DCShadow),Mimikatz,Computer account modification (4742) adding a Global Catalog SPN (GC/ prefix) to a non-DC machine; nTDSDSA object creation in AD Configuration partition; short registration window as Mimikatz auto-deregisters the rogue DC after replication,Security Event 4742,"Rogue DC Registration via GC SPN: DCShadow registers a fake Domain Controller by adding a Global Catalog ServicePrincipalName (GC/machinename.domain/domain) to a computer object and creating an nTDSDSA entry in the AD Configuration partition. This allows the rogue DC to push arbitrary AD attribute changes through legitimate replication, bypassing standard security event generation for the pushed changes (e.g., no 4728 for group membership changes). Event 4742 captures the computer object modification. The GC/ SPN prefix is the key discriminator - only real Global Catalog DCs should carry this SPN. Detection window is narrow: Mimikatz automatically unregisters the rogue DC after replication completes. Real-time alerting is essential.","index=main source=""WinEventLog:Security"" EventCode=4742 | rex field=Message ""(?P<gcspn>GC\/[a-zA-Z0-9\.\-\/]+)"" | table _time, ComputerName, Security_ID, Account_Name, user, gcspn | search gcspn=*",,,Legitimate new Global Catalog DC promotion by domain admins _ should correlate with a planned change ticket; DC demotion/promotion cycles during maintenance
Windows,Defense Evation,T1562.002 - Impair Defenses: Disable Windows Event Logging,auditpol.exe,SACL modification (Stripping),Security Event 4907,"Detect removal of Success/Failure audit ACEs in SDDL S:(AU;) string on sensitive objects (SAM, NTDS, LSASS). Indicators include SubjectUserName != 'SYSTEM' or unusual Admin account.","EventCode=4907 AND (ObjectName=""*\\lsass.exe"" OR ObjectName=""*\\ntds.dit"" OR ObjectName=""*\\config\\SAM"")",,,Authorized security software or GPO updates to auditing policies.
Windows,Defense Evation,T1218.011 - Rundll32 Proxy Execution,rundll32.exe,Rundll32 loading DLL via Ordinal,Sysmon Event 1,"Detects rundll32 using ordinals (e.g., #1) to hide intent.","EventCode=1 Image=""*\\rundll32.exe"" CommandLine=""*,#*""",,,Rare legacy apps.
Windows,Defense Evation,T1574.001 - Hijack Execution Flow: DLL,Generic Signed Binaries,"Unsigned DLL in System Binary context,",Sysmon Event 7,Detects signed binaries loading unsigned DLLs outside of protected system directories.,"EventCode=7 Signed=false NOT (ImageLoaded=""*\\Windows\\*"" OR ImageLoaded=""*\\Program Files*"")",,,Third-party apps installed in custom root folders (e.g. C:\Python39)
Windows,Defense Evation,T1036 - Masquerading,DLL Metadata Analysis,OriginalFileName Mismatch,Sysmon Event 7,Detects DLLs where OriginalFileName does not match disk filename.,EventCode=7 | where OriginalFileName != FileName,,,Legitimate updates renaming old DLLs.
Windows,Defense Evation,T1055 - Process Injection,Memory Injection (General),"CallTrace contains ""Unknown""",Sysmon Event 10,Detects process access originating from memory regions not associated with a file on disk. Tier 1 (High Recall): Monitor all 'Unknown' traces. Tier 2 (High Precision): Focus on TargetImage=lsass.exe to detect credential dumping.,"EventCode=10 CallTrace=""*Unknown*"" NOT (SourceImage=""*\\Windows\\Microsoft.NET\\*"" OR SourceImage=""*\\chrome.exe"")",,,"JIT compilation (.NET, Java), Browsers, EDR agents, and anti-cheat software."
Windows,Defense Evation,T1565.001 - Stored Data Manipulation,GPO Template Tampering,GPT File modification in SYSVOL,Sysmon Event 11,Monitors for file creation or modification events within the SYSVOL Policies directory originating from non-system processes.,"EventCode=11 TargetFilename=""*\\Windows\\SYSVOL\\domain\\Policies\\*"" NOT (Image=""*\\ntdsutil.exe"" OR Image=""*\\dfsrs.exe"")",,,DFS Replication (DFSR) traffic and legitimate administrative policy templates updates.
Windows,"Execution, Defense Evasion","T1059.001 - PowerShell, T1218 - System Binary Proxy Execution",Unmanaged PowerShell (via Native Binaries),"clr.dll (Primary),System.Management.Automation.dll, System.Management.Automation.ni.dll",Sysmon Event 7,"Tier 1 (High Recall): Detect native binaries (calc, notepad, etc.) loading clr.dll to identify .NET runtime hijacking. Tier 2 (High Precision): Detect the same binaries loading System.Management.Automation.dll for direct PowerShell engine usage.","EventCode=7 (ImageLoaded=""*\\clr.dll"" OR ImageLoaded=""*\\System.Management.Automation*"") NOT (Image=""*\\powershell.exe"" OR Image=""*\\pwsh.exe"" OR Image=""*\\Windows\\Microsoft.NET\\*"")",,,"Heavy Noise: .NET-based enterprise agents, Visual Studio, and SQL Server. Solution: Baseline your environment and exclude known-safe .NET directory paths."
